date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:24	97718/97718	---MCZ	200	added ('OK')	text/html	etag:%2251896-1704598751;gz%22	https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/	C:/My%20Web%20Sites/imc2/abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/index.html	(from )
18:39:24	117/117	---M--	200	added ('OK')	text/plain	etag:%2275-5df25432-8d4e7d643dad94d4;;;%22	https://abeso.org.br/robots.txt		(from )
18:39:24	0/0	---M--	200	added ('OK')	text/css	etag:%220-659b1974-6892ed0e8a75f5bc;;;%22	https://abeso.org.br/wp-content/litespeed/css/b26e88117c0e9de48bf50371dcbe73a7.css?ver=a19f7	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/litespeed/css/b26e88117c0e9de48bf50371dcbe73a793d7.css	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:24	109756/109756	---M-Z	200	added ('OK')	text/css	etag:%221acbc-659b1974-97629b2d9e90f538;gz%22	https://abeso.org.br/wp-content/litespeed/css/d47df5c29be69440c124bafcd10869dd.css?ver=7a7cb	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/litespeed/css/d47df5c29be69440c124bafcd10869dd531c.css	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:24	2347/2347	---M-Z	200	added ('OK')	text/css	etag:%2292b-659b1974-c26b4bdd43bcec14;gz%22	https://abeso.org.br/wp-content/litespeed/css/c93d511b9a86d06d9b54ee70567bcfcd.css?ver=4ca29	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/litespeed/css/c93d511b9a86d06d9b54ee70567bcfcdbdb4.css	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:25	26881/26881	---M-Z	200	added ('OK')	text/css	etag:%226901-659b1974-6b76931a295b370f;gz%22	https://abeso.org.br/wp-content/litespeed/css/ef416abd96fb688ae013ab8de806baa8.css?ver=7dddd	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/litespeed/css/ef416abd96fb688ae013ab8de806baa8e738.css	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:25	73328/73328	---M-Z	200	added ('OK')	text/css	etag:%2211e70-659b1974-b0359bf47216d32;gz%22	https://abeso.org.br/wp-content/litespeed/css/6ef5726bd3dfa87b09ee9ec23b90376e.css?ver=20c60	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/litespeed/css/6ef5726bd3dfa87b09ee9ec23b90376e97e8.css	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:25	16115/16115	---M-Z	200	added ('OK')	text/css	etag:%223ef3-659b1974-54d29b80ed372f30;gz%22	https://abeso.org.br/wp-content/litespeed/css/3382988ee519548a261e2efcc74e5f39.css?ver=71499	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/litespeed/css/3382988ee519548a261e2efcc74e5f397717.css	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:26	424/424	---M-Z	200	added ('OK')	text/css	etag:%221a8-659b1974-b0488adc09af0bcd;gz%22	https://abeso.org.br/wp-content/litespeed/css/a2eb4d616f19fcbfc0a019fb1a55477f.css?ver=35746	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/litespeed/css/a2eb4d616f19fcbfc0a019fb1a55477f60e3.css	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:26	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-6564e75f-9bec232dc7b9f64a;gz%22	https://abeso.org.br/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-includes/js/jquery/jquery.minf43b.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:26	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-6564e75e-8396f0b5417c977f;gz%22	https://abeso.org.br/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:26	144069/144069	---M-Z	200	added ('OK')	application/x-javascript	etag:%22232c5-655d0ddf-5b2f09be0d106a37;gz%22	https://abeso.org.br/wp-content/plugins/wp-charts-and-graphs/assets/js/Chart.min.js?ver=2.3.0	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/plugins/wp-charts-and-graphs/assets/js/Chart.mina1ec.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:27	23020/23020	---M-Z	200	added ('OK')	application/x-javascript	etag:%2259ec-655d0ddf-8f5891a6e7a4dc56;gz%22	https://abeso.org.br/wp-content/plugins/wp-charts-and-graphs/assets/js/pantherius_wp_charts.js?ver=1.2.1	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/plugins/wp-charts-and-graphs/assets/js/pantherius_wp_charts1576.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:27	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%22cbd4975f394cc3d9ce5203b1fc94f1bb%22	https://connect.facebook.net/pt_BR/sdk.js	C:/My%20Web%20Sites/imc2/connect.facebook.net/pt_BR/sdk.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:27	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2007%20Jan%202024%2021:39:27%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/imc2/www.googletagmanager.com/gtm.c5445.delayed	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:28	13930/13930	---M--	200	added ('OK')	image/gif	etag:%22366a-5e5983bc-79692b5c7ff94bfb;;;%22	https://abeso.org.br/wp-content/uploads/2020/02/logo-FLASO-2.gif	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/uploads/2020/02/logo-FLASO-2.gif	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:28	5045/5045	---M--	200	added ('OK')	image/png	etag:%2213b5-63606c50-d1899142edcc0c9c;;;%22	https://abeso.org.br/wp-content/uploads/2020/02/download.png	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/uploads/2020/02/download.png	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
